,Date,USDBRLH1W,USDBRLH1M,Spread,USDBRLH3M,USDBRLH6M,Spread
T,11/03/2011,17.6896,19.659,-1.969,24.102,18.618,5.484
W,11/02/2011,26.8481,20.118,6.7301,24.341,18.616,5.725
T,11/01/2011,26.9919,21.118,5.8743,24.344,18.618,5.726
M,10/31/2011,24.7169,20.454,4.2626,24.128,18.664,5.464
F,10/28/2011,23.8969,21.094,2.803,24.045,18.549,5.496
T,10/27/2011,22.9866,20.806,2.1807,24.052,18.525,5.527
W,10/26/2011,10.9233,19.476,-8.5524,23.406,18.079,5.327
T,10/25/2011,13.3852,19.739,-6.3541,23.48,18.091,5.389
M,10/24/2011,12.9271,19.705,-6.7779,23.447,18.078,5.368
F,10/21/2011,14.9047,23.606,-8.7014,23.382,18.014,5.368
T,10/20/2011,16.4578,23.85,-7.3925,23.369,18.008,5.36
W,10/19/2011,17.879,30.572,-12.6928,23.404,17.994,5.41
T,10/18/2011,16.0392,30.396,-14.3567,23.295,17.921,5.373
M,10/17/2011,15.8401,32.997,-17.1568,23.326,17.943,5.384
F,10/14/2011,11.2161,32.974,-21.7577,23.119,17.839,5.28
T,10/13/2011,9.1433,32.805,-23.6622,23.032,17.816,5.216
W,10/12/2011,21.1928,32.595,-11.4018,22.931,17.749,5.182
T,10/11/2011,23.1277,32.613,-9.4857,22.927,17.76,5.168
M,10/10/2011,26.5726,33.17,-6.5973,22.925,17.838,5.087
F,10/07/2011,26.9839,33.276,-6.2921,23.006,17.891,5.115
T,10/06/2011,30.5814,33.224,-2.643,23.011,17.923,5.088
W,10/05/2011,22.5367,31.674,-9.1371,22.382,17.527,4.854
T,10/04/2011,24.7795,31.429,-6.6497,22.233,17.609,4.624
M,10/03/2011,22.1823,30.781,-8.5987,21.986,17.424,4.562
F,09/30/2011,22.0125,31.022,-9.0094,21.957,17.402,4.555
T,09/29/2011,32.2913,30.864,1.4274,21.577,17.163,4.414
W,09/28/2011,33.1568,30.89,2.2666,21.583,17.302,4.281
T,09/27/2011,49.5147,30.133,19.3818,21.26,17.083,4.177
M,09/26/2011,49.2251,30.056,19.1686,21.289,17.092,4.196
F,09/23/2011,55.7605,30.02,25.7404,21.304,17.138,4.166
T,09/22/2011,49.4796,26.768,22.7113,19.915,16.232,3.683
W,09/21/2011,49.008,26.779,22.2295,19.806,16.167,3.638
T,09/20/2011,29.2627,18.802,10.4611,16.539,14.189,2.35
M,09/19/2011,29.053,18.725,10.3279,16.545,14.161,2.384
F,09/16/2011,17.2914,13.558,3.7333,14.828,13.167,1.661
T,09/15/2011,14.4873,12.75,1.7376,14.529,13.007,1.521
W,09/14/2011,14.1341,12.669,1.4654,14.505,13.006,1.499
T,09/13/2011,14.1626,12.634,1.5288,14.648,13.043,1.605
M,09/12/2011,14.7102,13.501,1.2089,14.621,13.028,1.593
F,09/09/2011,8.0282,12.451,-4.4223,14.312,12.803,1.51
T,09/08/2011,10.9282,12.165,-1.2365,14.339,12.765,1.574
W,09/07/2011,17.3162,14.554,2.7623,14.343,12.766,1.576
T,09/06/2011,17.3788,16.707,0.6713,14.33,12.782,1.548
M,09/05/2011,16.6989,19.877,-3.1778,14.264,12.743,1.521
F,09/02/2011,17.5198,20.033,-2.513,14.255,12.737,1.517
T,09/01/2011,15.0898,20.502,-5.4118,14.025,12.608,1.417
W,08/31/2011,7.1667,19.434,-12.2676,13.739,12.327,1.411
T,08/30/2011,10.1718,19.404,-9.2319,13.832,12.318,1.514
M,08/29/2011,11.0836,19.741,-8.657,13.876,12.326,1.55
F,08/26/2011,10.0749,19.879,-9.8042,13.976,12.276,1.7
T,08/25/2011,9.8093,19.987,-10.178,13.986,12.268,1.719
W,08/24/2011,11.0221,20.275,-9.2528,14.105,12.262,1.842
T,08/23/2011,8.0062,19.926,-11.9195,13.966,12.198,1.767
M,08/22/2011,6.4783,19.976,-13.498,13.953,12.166,1.787
F,08/19/2011,11.706,19.914,-8.2084,13.959,12.153,1.805
T,08/18/2011,13.3418,20.119,-6.7769,14.002,12.16,1.842
W,08/17/2011,12.1927,19.949,-7.7568,13.923,12.114,1.809
T,08/16/2011,20.3792,20.103,0.2761,13.92,12.126,1.793
M,08/15/2011,26.5065,20.102,6.4046,14.114,12.127,1.988
F,08/12/2011,33.3186,19.494,13.8247,13.826,11.96,1.866
T,08/11/2011,33.1497,19.253,13.8962,13.734,11.893,1.841
W,08/10/2011,35.5421,19.269,16.2729,13.773,11.896,1.877
T,08/09/2011,31.5678,17.539,14.0291,13.068,11.469,1.599
M,08/08/2011,26.6637,15.831,10.833,12.198,10.979,1.219
F,08/05/2011,16.0068,11.519,4.4883,10.456,10.074,0.381
T,08/04/2011,16.7686,11.785,4.9838,10.389,10.02,0.369
W,08/03/2011,11.8422,10.039,1.8031,9.768,9.71,0.058
T,08/02/2011,13.8401,10.386,3.4539,10.455,9.708,0.747
M,08/01/2011,13.7728,10.431,3.342,10.448,9.705,0.743
F,07/29/2011,12.7343,9.818,2.9164,10.334,9.592,0.742
T,07/28/2011,10.363,9.175,1.1883,10.13,9.555,0.575
W,07/27/2011,10.8791,9.09,1.7892,10.113,9.521,0.592
T,07/26/2011,8.156,9.273,-1.1175,9.945,9.438,0.507
M,07/25/2011,9.6916,9.567,0.1249,9.984,9.443,0.541
F,07/22/2011,7.9444,9.624,-1.6799,9.875,9.381,0.494
T,07/21/2011,8.2119,9.626,-1.4137,9.875,9.399,0.475
W,07/20/2011,5.91,9.269,-3.3592,9.739,9.331,0.408
T,07/19/2011,6.0504,9.57,-3.5199,9.845,9.329,0.515
M,07/18/2011,3.1462,9.228,-6.0821,9.854,9.272,0.582
F,07/15/2011,7.6159,9.288,-1.6726,9.99,9.29,0.7
T,07/14/2011,8.445,9.249,-0.8042,9.976,9.289,0.687
W,07/13/2011,11.1932,9.943,1.2503,10.026,9.344,0.681
T,07/12/2011,11.2721,9.91,1.3616,10.295,9.34,0.955
M,07/11/2011,12.5553,10.368,2.1872,10.474,9.429,1.045
F,07/08/2011,10.7398,10.272,0.4682,10.459,9.331,1.128
T,07/07/2011,10.1895,10.08,0.109,10.633,9.304,1.328
W,07/06/2011,7.1704,9.398,-2.2279,11.019,9.19,1.83
T,07/05/2011,7.9987,9.361,-1.362,11.023,9.241,1.782
M,07/04/2011,9.9836,8.956,1.0279,10.924,9.242,1.682
F,07/01/2011,10.8222,8.884,1.9386,10.933,9.302,1.631
T,06/30/2011,12.0975,9.788,2.3093,11.34,9.351,1.989
W,06/29/2011,11.9578,10.227,1.7306,11.336,9.343,1.992
T,06/28/2011,11.4969,10.246,1.2507,11.478,9.454,2.024
M,06/27/2011,9.4875,10.259,-0.7717,11.438,9.371,2.067
F,06/24/2011,8.1983,10.092,-1.894,11.359,9.334,2.026
T,06/23/2011,6.0361,10.233,-4.197,11.247,9.269,1.978
W,06/22/2011,6.1319,10.327,-4.195,11.247,9.269,1.979
T,06/21/2011,9.4492,10.458,-1.009,11.232,9.29,1.942
M,06/20/2011,8.0274,10.317,-2.2897,11.146,9.246,1.901
F,06/17/2011,10.184,10.495,-0.3113,11.183,9.29,1.893
T,06/16/2011,11.7801,10.451,1.3289,11.198,9.295,1.903
W,06/15/2011,11.7815,10.441,1.3409,11.293,9.328,1.965
T,06/14/2011,9.0028,10.59,-1.587,11.094,9.21,1.884
M,06/13/2011,9.0864,10.598,-1.512,11.114,9.211,1.902
F,06/10/2011,6.5573,10.238,-3.6811,10.992,9.134,1.859
T,06/09/2011,1.9171,9.937,-8.0202,10.855,9.11,1.746
W,06/08/2011,8.9127,10.18,-1.2677,10.905,9.111,1.793
T,06/07/2011,10.9424,10.199,0.7429,10.905,9.266,1.64
M,06/06/2011,11.7005,10.183,1.5176,10.9,9.28,1.62
F,06/03/2011,14.3134,10.318,3.9955,10.9,9.305,1.594
T,06/02/2011,14.6101,10.334,4.2764,10.898,9.344,1.554
W,06/01/2011,13.5558,11.479,2.0764,10.627,9.228,1.398
T,05/31/2011,12.3124,11.052,1.2605,10.508,9.181,1.327
M,05/30/2011,12.2723,11.146,1.1263,10.44,9.175,1.265
F,05/27/2011,9.7473,10.402,-0.6551,10.186,9.033,1.153
T,05/26/2011,10.1023,10.516,-0.4134,10.155,9.042,1.113
W,05/25/2011,7.4419,10.07,-2.6284,10.045,8.952,1.093
T,05/24/2011,6.8941,10.095,-3.2008,10.021,8.934,1.087
M,05/23/2011,10.0458,9.915,0.1307,9.963,8.98,0.983
F,05/20/2011,9.4422,9.763,-0.3212,9.932,9.062,0.87
T,05/19/2011,9.0195,9.566,-0.5463,9.873,9.027,0.845
W,05/18/2011,9.7349,9.897,-0.1617,9.905,9.036,0.869
T,05/17/2011,10.7827,10.244,0.5383,9.905,9.093,0.812
M,05/16/2011,6.8538,9.817,-2.963,9.632,8.941,0.69
F,05/13/2011,6.8041,9.816,-3.0115,9.63,8.94,0.69
T,05/12/2011,7.0603,9.897,-2.837,9.605,8.924,0.681
W,05/11/2011,6.117,10.591,-4.4735,9.59,8.908,0.683
T,05/10/2011,14.0574,10.891,3.1667,9.517,8.884,0.633
M,05/09/2011,13.9932,11.343,2.6504,9.598,8.9,0.697
F,05/06/2011,14.9393,12.009,2.9301,9.603,8.9,0.703
T,05/05/2011,14.5681,13.441,1.127,9.584,9.079,0.505
W,05/04/2011,15.1458,13.475,1.6708,9.578,9.075,0.503
T,05/03/2011,7.4977,11.785,-4.2877,8.819,8.887,-0.067
M,05/02/2011,8.1612,11.871,-3.7095,8.828,8.893,-0.065
F,04/29/2011,6.4597,12.801,-6.3418,8.868,8.839,0.03
T,04/28/2011,6.3947,12.816,-6.4213,8.893,8.855,0.038
W,04/27/2011,4.6844,13.186,-8.5021,8.864,8.859,0.005
T,04/26/2011,6.389,13.595,-7.2059,8.836,8.866,-0.03
M,04/25/2011,7.7648,13.504,-5.7392,8.793,8.955,-0.162
F,04/22/2011,9.6318,13.502,-3.8698,8.822,8.969,-0.147
T,04/21/2011,9.6668,13.505,-3.8384,8.829,9.005,-0.176
,,,,,,,
