idnumber	_id	cal_count	cook_time	made_it_count	prep_time	recipe_title	review_count	star_rating	total_time	year
56927	5740f0c0f0f8937c637561d8	195	25	12000	20	Delicious Ham and Potato Soup	9117	4.83456802368164	45	2006
6820	5740f0d0f0f8937c637561e5	263	50	2000	15	Downeast Maine Pumpkin Bread	6440	4.80801868438721	65	2006
70343	5740f0dff0f8937c637561f2	434	420	6000	15	Slow Cooker Chicken Taco Soup	4508	4.67489910125732	435	2006
8350	5740f0eef0f8937c637561fc	533	60	2000	30	Chantal's New York Cheesecake	4813	4.7169623374939	450	2006
8669	5740f0fdf0f8937c63756207	584	45	1000	15	Chicken Cordon Bleu II	4189	4.77739000320435	60	2006
9023	5740f10df0f8937c63756211	272	60	2000	30	Baked Teriyaki Chicken	4310	4.64461040496826	90	2006
10497	5740f123f0f8937c6375621f	144	12	331	15	Beth's Spicy Oatmeal Raisin Cookies	3597	4.74303913116455	50	2007
10687	5740f131f0f8937c6375622b	92	10	1000	20	Mrs. Sigg's Snickerdoodles	4038	4.73642683029175	60	2007
11758	5740f13ff0f8937c63756234	578	35	7000	20	Baked Ziti I	5167	4.6979808807373	55	2007
12409	5740f14df0f8937c63756240	316	45	6000	30	Apple Crisp II	4388	4.69281482696533	80	2007
12682	5740f15cf0f8937c63756248	512	60	9000	30	Apple Pie by Grandma Ople	6944	4.770592212677	90	2007
12720	5740f16af0f8937c63756251	318	16	4000	15	Grilled Salmon I	3023	4.75114679336548	151	2007
14276	5740f17bf0f8937c6375625d	491		2000	10	Strawberry Spinach Salad I	1783	4.77161931991577	70	2007
14469	5740f197f0f8937c6375626a	338	10	3000	10	Jamie's Cranberry Spinach Salad	2682	4.78761529922485	20	2007
14646	5740f1a8f0f8937c63756275	276	600	1000	20	Barbecued Beef	990	4.66030836105347	620	2007
17165	5740f1b6f0f8937c63756282	143	10	5000	15	Big Soft Ginger Cookies	4096	4.73919439315796	50	2007
17652	5740f1c4f0f8937c6375628f	263	20	11000	15	Banana Crumb Muffins	9138	4.79995203018188	35	2007
20156	5740f1d3f0f8937c6375629f	525	15	6000	20	Clone of a Cinnabon	5471	4.81670379638672	180	2007
23600	5740f1e4f0f8937c637562b5	448	150	15000	30	World's Best Lasagna	9830	4.78324794769287	195	2007
24332	5740f1f3f0f8937c637562bf	422	75	3000	15	Ultimate Twice Baked Potatoes	2097	4.71738386154175	90	2007
26692	5740f202f0f8937c637562ca	312	10	3000	15	Annie's Fruit Salsa and Cinnamon Chips	3206	4.77678155899048	45	2007
50644	5740f210f0f8937c637562d4	224	10	8000	5	Broiled Tilapia Parmesan	6868	4.70721817016602	15	2007
6788	5740f23cf0f8937c637562db	168	40	1000	20	Amish White Bread	3892	4.79371356964111	150	2007
6820	5740f254f0f8937c637562e8	263	50	2000	15	Downeast Maine Pumpkin Bread	6440	4.80801868438721	65	2007
8350	5740f269f0f8937c637562f2	533	60	2000	30	Chantal's New York Cheesecake	4813	4.7169623374939	450	2007
8669	5740f27af0f8937c637562fd	584	45	1000	15	Chicken Cordon Bleu II	4189	4.77739000320435	60	2007
10402	5740f298f0f8937c63756305	109	8	3000	20	The Best Rolled Sugar Cookies	7145	4.43362951278687	180	2008
11758	5740f2a6f0f8937c6375630e	578	35	7000	20	Baked Ziti I	5167	4.6979808807373	55	2008
12720	5740f2b4f0f8937c63756317	318	16	4000	15	Grilled Salmon I	3023	4.75114679336548	151	2008
15004	5740f2c2f0f8937c63756322	177	12	9000	15	Award Winning Soft Chocolate Chip Cookies	8023	4.65247344970703	100	2008
16066	5740f2d2f0f8937c63756327	426	480	8000	10	Awesome Slow Cooker Pot Roast	6624	4.64115524291992	490	2008
16383	5740f2e1f0f8937c6375632e	216	20	3000	10	Basic Crepes	2032	4.65264272689819	30	2008
17652	5740f2f0f0f8937c6375633b	263	20	11000	15	Banana Crumb Muffins	9138	4.79995203018188	35	2008
19673	5740f305f0f8937c63756347	66		2000	30	Seven Layer Taco Dip	1733	4.73436880111694	30	2008
20144	5740f318f0f8937c6375634f	229	65	12000	15	Banana Banana Bread	8918	4.56786823272705	80	2008
20156	5740f327f0f8937c6375635f	525	15	6000	20	Clone of a Cinnabon	5471	4.81670379638672	180	2008
21014	5740f33af0f8937c63756367	158	15	11000	5	Good Old Fashioned Pancakes	8169	4.60644197463989	20	2008
23600	5740f34af0f8937c6375637d	448	150	15000	30	World's Best Lasagna	9830	4.78324794769287	195	2008
26317	5740f35df0f8937c6375638b	415	50	10000	20	Chicken Pot Pie IX	7253	4.81115436553955	70	2008
68461	5740f36df0f8937c63756393	284	40	4000	5	Buffalo Chicken Dip	3218	4.70490694046021	45	2008
6865	5740f380f0f8937c637563a0	383	25	2000	15	To Die For Blueberry Muffins	8093	4.64672470092773	40	2008
7402	5740f394f0f8937c637563b1	575	60	1000	30	Carrot Cake III	4650	4.71916103363037	120	2008
